"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)",,"Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)",
181733488681906_1586326408222600,https://www.facebook.com/IndianaAlzheimersDiseaseResearchCenter/posts/1586326408222600,"Many of today's conversations include the words COVID-19 and Health Disparity.  Be informed so that you can be part of the discussion without bias and reduce disparities within your social reach.  NIH and @NIHNINDS is working to address health care disparities across the country in this conversation with American Academy of Neurology.  
This content is made available for voluntary, informational purposes and does not constitute medical or legal advice.",Link,,,"08/31/2020 01:27:41 PM"," ",99,99,0,109,109,0,4,2,2,0,0,100,90,0,0,3,0,0,0,0,0,0,0,0,0,0,2,,,2,,,2,,,2,,,,,,
181733488681906_1583715845150323,https://www.facebook.com/IndianaAlzheimersDiseaseResearchCenter/posts/1583715845150323,"The Mediterranean diet, which emphasizes fruits, vegetables, whole grains, legumes, fish, and other seafood; unsaturated fats such as olive oils; and low amounts of red meat, eggs, and sweets is promising evidence that lifestyle changes can benefit brain health. 

A variation of this, called MIND (Mediterranean–DASH Intervention for Neurodegenerative Delay) incorporates the DASH (Dietary Approaches to Stop Hypertension) diet, which has been shown to lower high blood pressure, a risk factor for Alzheimer’s disease.  
More information about benefits of change in our diet can be found at: https://www.nia.nih.gov/health/what-do-we-know-about-diet-and-prevention-alzheimers-disease",Photo,,,"08/28/2020 01:03:03 PM"," ",67,67,0,86,86,0,5,4,4,0,0,80,61,0,0,4,0,0,0,0,0,0,0,0,0,0,2,,,2,,,,1,3,,1,3,,,,
181733488681906_1582640051924569,https://www.facebook.com/IndianaAlzheimersDiseaseResearchCenter/posts/1582640051924569,"Crystal M. Glover, PhD will be one of our Keynote Speakers at the IADRC's 14th Annual Martin Family Alzheimer's Disease Caregiver Symposium: Diversity and Disparity in Alzheimer’s Disease.  Symposium will be held virtually on Friday, September 25.",Photo,,,"08/27/2020 07:39:52 AM"," ",157,157,0,185,185,0,13,5,5,1,1,152,129,0,0,11,0,0,0,0,0,0,0,0,0,0,9,1,,9,1,,4,1,,4,1,,1,,1,
181733488681906_1580314938823747,https://www.facebook.com/IndianaAlzheimersDiseaseResearchCenter/posts/1580314938823747,"IADRC presented it's annual Memory University 2020 in virtual format.  

The theme was Brainpower: Staying Sharp at All Ages.  Dr. Sophia Wang, MD presented the 4th week's session titled &quot;Genes and Brain Scans: What’s My Risk of Getting Alzheimer’s Disease?&quot; 

Dr. Wang is an Assistant professor of Clinical Psychiatry and Outreach and Recruitment Core Leader of the Indiana Alzheimer’s Disease Research Center at Indiana University School of Medicine. 

You are invited to watch the FULL presentation here:  https://iu.mediaspace.kaltura.com/media/Mem-U_June_26_2020-Wang-edited/1_p5blskh0",Link,,,"08/24/2020 12:58:43 PM"," ",162,162,0,189,189,0,11,7,8,0,0,135,114,0,0,10,0,0,0,0,0,0,0,0,0,0,3,2,,4,2,,2,,6,2,,6,,,,
181733488681906_1575983459256895,https://www.facebook.com/IndianaAlzheimersDiseaseResearchCenter/posts/1575983459256895,"One of our exceptional IADRC Community Advisory members, Mollie Richards, has been staying busy and continuing to support the community throughout the COVID-19 pandemic.  Mollie recently shared:

 “Covid-19 requires multiple changes to daily life.  One of the primary changes for me was staying busy.  My volunteer, opportunities for Community Hospital, the Alzheimer’s Association Greater Indiana Chapter and Indiana Alzheimer’s Disease Research Center closed or transitioned.  How was I going to keep occupied? I was a part of a group email asking for volunteers to sew DYI facemasks for one of the hospitals.  My sewing machine had been “in mothballs” for about 10 years.  I was able to get it working with a goal of making 50 facemasks. As of today, I have produced and donated over 150 facemasks  with a goal of making 200.”   

Thank you, Mollie for your hard work and dedication to keeping our communities safe.",Photo,,,"08/19/2020 08:34:53 AM"," ",175,175,0,217,217,0,19,10,12,1,1,191,149,0,0,17,0,0,0,0,0,0,0,0,0,0,13,,2,13,,2,5,6,,6,6,,1,,1,
181733488681906_1575893369265904,https://www.facebook.com/IndianaAlzheimersDiseaseResearchCenter/posts/1575893369265904,,SharedVideo,,,"08/19/2020 06:26:11 AM"," ",117,117,0,134,134,0,10,4,5,0,0,119,105,0,0,9,0,0,0,0,49,54,0,0,0,2404032,7,,,7,,,3,,1,4,,1,,,,
181733488681906_1574186856103222,https://www.facebook.com/IndianaAlzheimersDiseaseResearchCenter/posts/1574186856103222,"Introducing &quot;Ask The Doctor,&quot; our monthly series featuring outstanding clinicians from the IADRC answering your questions!

September's focus will be Frontotemporal Dementia (FTD). FTD is an umbrella term used to describe a group of uncommon brain disorders characterized by atrophy, or shrinking, of the frontal and temporal lobes of the brain. 

FTD is often misdiagnosed as psychiatric problems due to the way it can impact behavior and personality. It is also often misdiagnosed as Alzheimer's Disease due to the language and memory changes it may cause.

Message us via Facebook Messenger or send your questions to iadcevt@iu.edu for an opportunity to have Dr. Clark answer here!",Photo,,,"08/17/2020 06:25:01 AM"," ",100,100,0,127,127,0,8,0,0,0,0,107,82,0,0,8,0,0,0,0,0,0,0,0,0,0,8,,,8,,,,,,,,,,,,
181733488681906_1571114096410498,https://www.facebook.com/IndianaAlzheimersDiseaseResearchCenter/posts/1571114096410498,,Photo,,,"08/13/2020 02:08:04 PM"," ",107,107,0,132,132,0,10,3,8,0,0,111,87,0,0,10,0,0,0,0,0,0,0,0,0,0,7,,,7,1,,3,1,,6,2,,,,,
181733488681906_1569357906586117,https://www.facebook.com/IndianaAlzheimersDiseaseResearchCenter/posts/1569357906586117,"This weekend, the IADRC's Outreach, Recruitment, and Engagement Core Leader, Dr. Sophia Wang appeared alongside Community Advisory Board Co-Chair, Ralph Richards, and member Mollie Richards for an incredible conversation with Radio Next's Harold HB Bell. 

Listen along to hear some beautiful and powerful words from Mollie, sharing her experiences fighting for civil rights and marching alongside Dr. Martin Luther King Jr. 

In addition, Mollie and Dr. Wang explain the role of stress and trauma, including generational-trauma caused by slavery and racism influences health equity and outcomes today. 

Learn more about the research being conducted at the IADRC and the upcoming Martin Caregiver Symposium by following along and please be sure to share with your friends and family.",SharedVideo,,,"08/11/2020 02:03:37 PM"," ",138,138,0,163,163,0,9,1,1,1,1,141,117,0,0,9,0,0,0,0,55,60,0,0,0,1138432,9,,,9,,,1,,,1,,,,1,,1
